clips,prediction(1 means violent and 0 means not violent),non_violence_score,violence_score
clips0,0.0,1.0,8.68572019863123e-11
clips1,1.0,0.16920767724514008,0.8307923078536987
clips2,0.0,0.9999477863311768,5.2199775382177904e-05
clips3,0.0,0.9999955892562866,4.369638190837577e-06
clips4,1.0,0.0003290604508947581,0.9996709823608398
clips5,0.0,0.6567952632904053,0.3432047665119171
clips6,1.0,1.3576033743370464e-12,1.0
clips7,1.0,9.25410640775226e-05,0.9999074935913086
clips8,1.0,0.04152405634522438,0.9584758877754211
clips9,1.0,0.054582227021455765,0.9454178214073181
clips10,1.0,0.0003711820754688233,0.9996287822723389
clips11,0.0,0.7274779081344604,0.27252212166786194
clips12,1.0,1.1641729543043766e-05,0.999988317489624
AVERAGE,0.6153846153846154,0.3577180802822113,0.6422819495201111
